ch0,ch1,ch2,ch3
-1.23E-06,0.000200464,6.18E-05,1.75E-05
-1.32E-06,0.000200775,6.16E-05,1.76E-05
-1.28E-06,0.000200924,6.20E-05,1.72E-05
-1.56E-06,0.0002019,6.88E-05,1.92E-05
-1.44E-07,0.000203411,5.78E-05,2.14E-05
8.34E-07,0.000208087,5.09E-05,2.63E-05
3.72E-06,0.000214135,3.52E-05,3.31E-05
1.07E-05,0.000215699,1.52E-05,3.89E-05
2.05E-05,0.000215122,1.52E-06,4.62E-05
4.31E-05,0.000209056,-1.10E-05,4.87E-05
6.80E-05,0.000200762,-1.79E-05,3.95E-05
8.04E-05,0.000192017,-2.20E-05,3.37E-05
9.43E-05,0.000185882,-2.35E-05,3.01E-05
8.38E-05,0.000187334,-2.20E-05,2.82E-05
9.46E-05,0.000186389,-2.16E-05,3.30E-05
9.92E-05,0.000188651,-1.97E-05,4.04E-05
9.12E-05,0.000195901,-1.58E-05,4.81E-05
6.88E-05,0.000205262,-9.02E-06,4.86E-05
4.61E-05,0.000213373,2.36E-06,4.73E-05
2.71E-05,0.000218607,2.03E-05,3.77E-05
8.34E-06,0.000215692,4.58E-05,2.85E-05
2.67E-07,0.000209355,7.04E-05,1.90E-05
-2.31E-06,0.000205133,8.30E-05,1.54E-05
-1.61E-06,0.000200862,6.24E-05,1.51E-05
-3.04E-06,0.00020896,6.87E-05,1.83E-05
-4.47E-08,0.000210945,5.31E-05,3.00E-05
8.61E-06,0.000221311,2.68E-05,4.29E-05
2.80E-05,0.000219411,1.67E-06,4.91E-05
5.43E-05,0.000207325,-1.49E-05,4.40E-05
8.46E-05,0.00019283,-2.14E-05,3.58E-05
9.43E-05,0.000187494,-2.27E-05,2.68E-05
8.62E-05,0.000187322,-2.03E-05,3.22E-05
8.89E-05,0.000194077,-1.71E-05,4.06E-05
5.48E-05,0.000211517,-4.27E-07,4.91E-05
2.54E-05,0.000222236,2.89E-05,4.27E-05
6.61E-06,0.000219909,7.29E-05,2.67E-05
-1.98E-06,0.000211314,0.000105872,1.49E-05
-4.01E-06,0.00020294,6.31E-05,1.54E-05
-2.43E-06,0.000199991,6.44E-05,1.50E-05
-2.57E-06,0.000201209,6.66E-05,1.51E-05
