ch0,ch1,ch2,ch3
1.56E-05,0.000204029,-3.26E-05,3.60E-05
1.55E-05,0.000204042,-3.26E-05,3.59E-05
1.54E-05,0.000204043,-3.26E-05,3.59E-05
1.54E-05,0.000204103,-3.27E-05,3.60E-05
1.53E-05,0.000204157,-3.35E-05,3.95E-05
2.31E-06,0.000204304,-3.15E-05,2.98E-05
-1.29E-05,0.000204566,-3.15E-05,2.97E-05
-1.28E-05,0.000204427,-3.14E-05,2.96E-05
-1.28E-05,0.000204425,-3.13E-05,3.57E-05
1.49E-05,0.000203302,-3.28E-05,3.58E-05
1.60E-05,0.000203305,-3.27E-05,3.61E-05
1.63E-05,0.000203289,-3.28E-05,3.60E-05
1.63E-05,0.000203135,-3.19E-05,2.94E-05
-1.36E-05,0.00020455,-3.14E-05,2.95E-05
-1.27E-05,0.000204324,-3.13E-05,2.95E-05
-1.26E-05,0.000204274,-3.13E-05,2.95E-05
-1.26E-05,0.000204332,-3.12E-05,3.35E-05
1.32E-05,0.000204187,-3.26E-05,3.69E-05
1.50E-05,0.000203617,-3.26E-05,3.66E-05
1.49E-05,0.000203799,-3.25E-05,3.67E-05
1.49E-05,0.000203727,-3.26E-05,3.69E-05
-1.02E-05,0.000204147,-3.12E-05,2.92E-05
-1.26E-05,0.0002043,-3.12E-05,2.94E-05
-1.26E-05,0.000204226,-3.11E-05,2.93E-05
-1.25E-05,0.000204244,-3.11E-05,5.01E-05
1.76E-05,0.000203229,-3.22E-05,3.64E-05
1.53E-05,0.000203271,-3.21E-05,3.61E-05
1.55E-05,0.000203262,-3.21E-05,3.61E-05
1.56E-05,0.000204313,-3.06E-05,2.91E-05
-1.24E-05,0.000203806,-3.07E-05,2.92E-05
-1.24E-05,0.000203824,-3.08E-05,2.92E-05
-1.23E-05,0.000203826,-3.08E-05,2.91E-05
-8.49E-07,0.000204938,-3.18E-05,3.48E-05
1.60E-05,0.000203647,-3.21E-05,3.46E-05
1.67E-05,0.000203591,-3.21E-05,3.47E-05
1.65E-05,0.000203658,-3.23E-05,3.04E-05
-1.32E-05,0.00020378,-3.09E-05,2.89E-05
-1.22E-05,0.000203814,-3.08E-05,2.90E-05
-1.22E-05,0.00020382,-3.08E-05,2.91E-05
