ch0,ch1,ch2,ch3
2.938323e-06,0.000194667839,1.0465272e-05,1.5311874e-05
2.900138e-06,0.000194630586,1.0509044e-05,1.532957e-05
2.883375e-06,0.000194465742,1.1279248e-05,1.5348196e-05
2.486631e-06,0.00019351393,1.006946e-05,1.6601756e-05
3.30247e-06,0.000194757245,3.036112e-06,1.8085353e-05
4.546717e-06,0.000196838751,-1.508743e-06,2.210401e-05
8.297153e-06,0.000198053196,-8.770265e-06,2.4502166e-05
1.3391487e-05,0.000196681358,-1.4490448e-05,2.4369918e-05
2.1887012e-05,0.00019376725,-1.7207116e-05,2.1058135e-05
2.6141293e-05,0.00019188039,-1.8569641e-05,1.9892119e-05
2.9210933e-05,0.000190811232,-1.9351952e-05,1.7485581e-05
3.3293851e-05,0.00019011274,-1.8946826e-05,1.7842278e-05
3.3013523e-05,0.000190243125,-1.8683262e-05,1.8551014e-05
4.7155656e-05,0.000191938132,-1.8467195e-05,2.4079345e-05
3.7295744e-05,0.000193096697,-1.6738661e-05,2.6229769e-05
2.7451664e-05,0.000196262263,-1.3305806e-05,2.437178e-05
1.5850179e-05,0.000199043192,-4.855916e-06,2.6121736e-05
9.406358e-06,0.000199336559,5.531125e-06,2.1117739e-05
4.711561e-06,0.000197104178,1.2635253e-05,1.8080696e-05
2.420507e-06,0.000193638727,1.1359341e-05,1.6038306e-05
3.204681e-06,0.000194779597,9.207986e-06,1.6171485e-05
3.123656e-06,0.000192728825,1.9073486e-05,2.1535903e-05
4.916452e-06,0.000197153538,6.43637e-06,2.4778768e-05
1.0625459e-05,0.000200303271,-4.766509e-06,2.9512681e-05
2.1943823e-05,0.000197866932,-1.456216e-05,2.5484711e-05
3.1313859e-05,0.000193173066,-1.8071383e-05,2.1407381e-05
4.0108338e-05,0.000189871527,-1.9768253e-05,1.7432496e-05
6.3078478e-05,0.000188096426,-1.8312596e-05,1.7260201e-05
3.421586e-05,0.000189550221,-1.832936e-05,1.6521662e-05
3.4184195e-05,0.000189398415,-1.7676502e-05,2.2807159e-05
4.1599385e-05,0.000192744657,-1.6050413e-05,2.6160851e-05
2.7079135e-05,0.000197038054,-9.029172e-06,2.7134083e-05
1.0434538e-05,0.00019798521,3.595836e-06,2.0640902e-05
4.293397e-06,0.000195208937,1.6199425e-05,1.5187077e-05
2.233312e-06,0.000193443149,9.403564e-06,1.5174039e-05
3.444962e-06,0.000194939785,9.636395e-06,1.5132129e-05
3.444962e-06,0.000194987282,9.770505e-06,1.5042722e-05
3.83798e-06,0.000197930261,1.1038035e-05,1.4893711e-05
3.51388e-06,0.000194817781,9.847805e-06,1.5113503e-05
3.537163e-06,0.000194768421,9.979121e-06,1.5015714e-05
