ch0,ch1,ch2,ch3
6.7258254e-05,0.000201024115,-3.2341108e-05,3.9608218e-05
6.7197718e-05,0.000201012939,-3.2283366e-05,3.9606355e-05
6.7365356e-05,0.000200938433,-3.2239594e-05,3.966596e-05
6.7388639e-05,0.000200867653,-3.2206997e-05,3.9517879e-05
6.7411922e-05,0.000201415271,-3.0993484e-05,4.1703694e-05
6.7154877e-05,0.000200995244,-3.1664036e-05,3.3334829e-05
2.0321459e-05,0.000202536583,-2.9464252e-05,2.6782043e-05
-1.0180287e-05,0.000202847645,-2.9656105e-05,2.6973896e-05
-1.0324642e-05,0.00020271726,-2.9540621e-05,2.6803464e-05
-1.012627e-05,0.000202593394,-2.9375777e-05,2.6663765e-05
-1.0078773e-05,0.000202523544,-2.9354356e-05,3.0192547e-05
1.7689541e-05,0.0001994716,-3.2045878e-05,3.5023317e-05
7.3099509e-05,0.000199996866,-3.2456592e-05,3.5780482e-05
7.0372596e-05,0.000201436691,-3.2413751e-05,3.9006583e-05
7.1661547e-05,0.000201251358,-3.2097101e-05,3.6508776e-05
6.8962574e-05,0.000200437382,-3.2325275e-05,3.3194199e-05
1.5417114e-05,0.00020242203,-2.9238872e-05,2.667401e-05
-1.0163523e-05,0.000202486292,-2.9226765e-05,2.6690774e-05
-1.0153279e-05,0.000202517025,-2.9251911e-05,2.6686117e-05
-1.0114163e-05,0.000202466734,-2.9185787e-05,2.6629306e-05
-1.0059215e-05,0.000202423893,-2.7596019e-05,3.5775825e-05
5.9598126e-05,0.000200425275,-3.1618401e-05,3.7601218e-05
6.7381188e-05,0.000199289061,-3.1869859e-05,3.9442442e-05
6.7209825e-05,0.000200036913,-3.2013282e-05,3.8246624e-05
6.736163e-05,0.000199903734,-3.1687319e-05,3.8326718e-05
2.5565736e-05,0.000202367082,-2.8778799e-05,2.6549213e-05
-1.0024756e-05,0.000202168711,-2.8905459e-05,2.6627444e-05
-1.0145828e-05,0.000202188268,-2.8925017e-05,2.6555732e-05
-9.994954e-06,0.000202113762,-2.8912909e-05,2.674479e-05
-1.0021031e-05,0.000196754001,-2.5395304e-05,3.7042424e-05
7.4313022e-05,0.000199202448,-3.2021664e-05,4.0170737e-05
7.0872717e-05,0.000199506991,-3.1741336e-05,3.7251972e-05
7.2484836e-05,0.00019967556,-3.2015145e-05,3.9092265e-05
7.1911141e-05,0.000199410133,-3.182143e-05,3.829971e-05
7.0807524e-05,0.000202214345,-2.9030256e-05,2.6408583e-05
-9.947456e-06,0.000201952644,-2.8827228e-05,2.6569702e-05
-1.000613e-05,0.000202106312,-2.8806739e-05,2.6487745e-05
-9.90089e-06,0.000201993622,-2.8777868e-05,2.647005e-05
-9.89344e-06,0.000197402202,-2.6338734e-05,3.870856e-05
